name	category	url
AAAS: Science Advances: Table of Contents	unknown	https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=sciadv
AAAS: Science: Table of Contents	unknown	https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=science
Actuators	unknown	https://www.mdpi.com/rss/journal/actuators
Applied Mechanics	unknown	https://www.mdpi.com/rss/journal/applmech
Applied Sciences	unknown	https://www.mdpi.com/rss/journal/applsci
Applied Surface Science	unknown	https://rss.sciencedirect.com/publication/science/01694332
Batteries	unknown	https://www.mdpi.com/rss/journal/batteries
Bioengineering	unknown	https://www.mdpi.com/rss/journal/bioengineering
Biomolecules	unknown	https://www.mdpi.com/rss/journal/biomolecules
Biosensors	unknown	https://www.mdpi.com/rss/journal/biosensors
Ceramics	unknown	https://www.mdpi.com/rss/journal/ceramics
ChemEngineering	unknown	https://www.mdpi.com/rss/journal/chemengineering
Chemosensors	unknown	https://www.mdpi.com/rss/journal/chemosensors
Chips	unknown	https://www.mdpi.com/rss/journal/chips
Clean Technologies	unknown	https://www.mdpi.com/rss/journal/cleantechnol
Coatings	unknown	https://www.mdpi.com/rss/journal/coatings
Colloids and Interfaces	unknown	https://www.mdpi.com/rss/journal/colloids
Communications Materials	unknown	https://www.nature.com/commsmat.rss
Condensed Matter	unknown	https://www.mdpi.com/rss/journal/condensedmatter
Crystals	unknown	https://www.mdpi.com/rss/journal/crystals
Electrochem	unknown	https://www.mdpi.com/rss/journal/electrochem
Electronics	unknown	https://www.mdpi.com/rss/journal/electronics
Energies	unknown	https://www.mdpi.com/rss/journal/energies
Entropy	unknown	https://www.mdpi.com/rss/journal/entropy
Fibers	unknown	https://www.mdpi.com/rss/journal/fibers
Fluids	unknown	https://www.mdpi.com/rss/journal/fluids
Frontiers in Energy Research | New and Recent Articles	unknown	https://www.frontiersin.org/journals/energy-research/rss
Frontiers in Materials | New and Recent Articles	unknown	https://www.frontiersin.org/journals/materials/rss
Fuels	unknown	https://www.mdpi.com/rss/journal/fuels
Gels	unknown	https://www.mdpi.com/rss/journal/gels
Hardware	unknown	https://www.mdpi.com/rss/journal/hardware
IEEE Aerospace and Electronic Systems Magazine - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC62.XML
IEEE ASSP Magazine - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC53.XML
IEEE Computer Applications in Power - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC67.XML
IEEE Design & Test of Computers - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC54.XML
IEEE Electrical Insulation Magazine - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC57.XML
IEEE Electron Device Letters - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC55.XML
IEEE Engineering in Medicine and Biology Magazine - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC51.XML
IEEE Expert - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC64.XML
IEEE Journal of Oceanic Engineering - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC48.XML
IEEE Journal on Robotics and Automation - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC56.XML
IEEE Journal on Selected Areas in Communications - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC49.XML
IEEE Network - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC65.XML
IEEE Photonics Technology Letters - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC68.XML
IEEE Software - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC52.XML
IEEE Transactions on Energy Conversion - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC60.XML
IEEE Transactions on Fuzzy Systems - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC91.XML
IEEE Transactions on Power Delivery - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC61.XML
IEEE Transactions on Power Electronics - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC63.XML
IEEE Transactions on Power Systems - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC59.XML
IEEE Transactions on Semiconductor Manufacturing - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC66.XML
IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control - new TOC	unknown	https://ieeexplore.ieee.org/rss/TOC58.XML
